Name,Score,Era,Attack,Defense,Guild Goods
Dido the Cunning 262,193634076,SpaceAgeAsteroidBelt,609,374,2380
Ozzie-59,162394752,OceanicFuture,766,645,2080
Iris the Brash 335,79585626,OceanicFuture,941,502,960
Krandol,78960360,SpaceAgeMars,255,331,1100
AsnaatsB,73222184,SpaceAgeMars,438,349,1020
Aaaa16a,69771173,ArcticFuture,468,369,1710
Linjac,52218651,TomorrowEra,605,425,990
MacLarenLad,51166482,OceanicFuture,446,352,1220
Kfljj186,49219699,FutureEra,534,519,940
nb1961,44739141,ArcticFuture,331,279,1050
Emeliana,41491950,ContemporaryEra,412,433,2110
Ranulf Drogo,38529791,OceanicFuture,355,304,990
Uranius the Scourge 164,38267922,FutureEra,242,219,1040
bagr bez lopaty,37306308,FutureEra,725,515,1200
Archelaos the Lucky 773,36356122,PostModernEra,479,474,1200
Solarian12,35679286,IndustrialAge,444,408,1310
Ragnar Killer,35630529,ProgressiveEra,469,385,1040
AndZe,33797114,ContemporaryEra,745,554,2130
Rhea the Great 506,31940709,TomorrowEra,322,233,1240
L3louch Kun,31414772,FutureEra,452,285,1035
fela,29371272,ContemporaryEra,296,217,880
Leaon,29273191,ContemporaryEra,424,399,1190
mossulica,28952186,IndustrialAge,458,430,1240
.Cay,24048493,IndustrialAge,545,519,1150
Jazz22,22185017,FutureEra,359,276,1060
King Leroy,21997872,ModernEra,386,393,990
lemous the wise,21481780,ArcticFuture,437,307,870
Stiffmeisterz,20681881,HighMiddleAge,501,414,1120
Mitch 62,19603009,ProgressiveEra,291,284,990
King Pele Mele,18640610,PostModernEra,155,156,1310
Strangely the Enough,17871960,ModernEra,382,325,990
playforfunzzz,17419647,IndustrialAge,287,237,810
Zelgazra The Leveler,16662147,LateMiddleAge,456,397,1750
ThisWayUp,15415287,PostModernEra,444,442,1220
fiura,13716342,PostModernEra,316,346,1020
Heartbreaker351,11030737,IndustrialAge,225,239,1170
Cyber-r,10631577,ColonialAge,304,354,1255
Big Bob the Builder,10204702,ProgressiveEra,189,318,1100
Ananas de la Martinique,10091339,PostModernEra,165,236,1020
Fergus Zamar,9914026,ColonialAge,347,280,1180
Ricey 7,9558482,ContemporaryEra,270,205,945
Amitis the Hunter 959,9366380,IndustrialAge,428,428,1140
Crispy Frisbee,8436981,HighMiddleAge,124,119,880
smichyclass,8371324,ProgressiveEra,284,255,1000
KING BORIS OF BRITANIA,6288846,LateMiddleAge,236,228,930
Kathleen the greatest,6004694,ColonialAge,230,221,945
becca1310,5840350,IndustrialAge,220,205,910
Lord of war 2,5014937,ContemporaryEra,152,164,710
Nike the Wrathful 598,4897486,EarlyMiddleAge,99,112,810
Sir KK,4785174,ModernEra,240,258,335
CharmaineK,4408284,HighMiddleAge,307,206,910
Zambilica,4094238,ColonialAge,277,249,805
Finlay the Fair,2847034,LateMiddleAge,192,196,560
Flonked,2529850,HighMiddleAge,177,174,500
wonosobo,2372105,LateMiddleAge,149,111,290
cerbon,2198190,LateMiddleAge,150,92,320
Sunwheel,1144339,LateMiddleAge,262,204,240
Ferdinand the Just 1461,476503,ColonialAge,129,102,130
EnchantedSahara,410944,IndustrialAge,87,100,40
EpicA91600,153453,IronAge,51,46,80
